TARGET_FID,n_pontos_pareados,pct_pontos
year,50000,100.0
0,50000,100.0
1,50000,100.0
10,50000,100.0
100,50000,100.0
101,50000,100.0
102,50000,100.0
103,50000,100.0
104,50000,100.0
105,50000,100.0
106,50000,100.0
107,50000,100.0
108,50000,100.0
109,50000,100.0
11,50000,100.0
110,50000,100.0
111,50000,100.0
112,50000,100.0
113,50000,100.0
114,50000,100.0
115,50000,100.0
116,50000,100.0
117,50000,100.0
118,50000,100.0
119,50000,100.0
12,50000,100.0
120,50000,100.0
121,50000,100.0
122,50000,100.0
123,50000,100.0
124,50000,100.0
125,50000,100.0
126,50000,100.0
127,50000,100.0
128,50000,100.0
129,50000,100.0
13,50000,100.0
130,50000,100.0
131,50000,100.0
132,50000,100.0
133,50000,100.0
134,50000,100.0
135,50000,100.0
136,50000,100.0
137,50000,100.0
138,50000,100.0
139,50000,100.0
14,50000,100.0
140,50000,100.0
141,50000,100.0
142,50000,100.0
143,50000,100.0
144,50000,100.0
145,50000,100.0
146,50000,100.0
147,50000,100.0
148,50000,100.0
149,50000,100.0
15,50000,100.0
150,50000,100.0
151,50000,100.0
152,50000,100.0
153,50000,100.0
154,50000,100.0
155,50000,100.0
156,50000,100.0
157,50000,100.0
158,50000,100.0
159,50000,100.0
16,50000,100.0
160,50000,100.0
161,50000,100.0
162,50000,100.0
163,50000,100.0
164,50000,100.0
165,50000,100.0
166,50000,100.0
167,50000,100.0
168,50000,100.0
169,50000,100.0
17,50000,100.0
170,50000,100.0
171,50000,100.0
172,50000,100.0
173,50000,100.0
174,50000,100.0
175,50000,100.0
176,50000,100.0
177,50000,100.0
178,50000,100.0
179,50000,100.0
18,50000,100.0
180,50000,100.0
181,50000,100.0
182,50000,100.0
183,50000,100.0
184,50000,100.0
185,50000,100.0
186,50000,100.0
187,50000,100.0
188,50000,100.0
189,50000,100.0
19,50000,100.0
190,50000,100.0
191,50000,100.0
192,50000,100.0
193,50000,100.0
194,50000,100.0
195,50000,100.0
196,50000,100.0
197,50000,100.0
198,50000,100.0
199,50000,100.0
2,50000,100.0
20,50000,100.0
200,50000,100.0
201,50000,100.0
202,50000,100.0
203,50000,100.0
204,50000,100.0
205,50000,100.0
206,50000,100.0
207,50000,100.0
208,50000,100.0
209,50000,100.0
21,50000,100.0
210,50000,100.0
211,50000,100.0
212,50000,100.0
213,50000,100.0
214,50000,100.0
215,50000,100.0
216,50000,100.0
217,50000,100.0
218,50000,100.0
219,50000,100.0
22,50000,100.0
220,50000,100.0
221,50000,100.0
222,50000,100.0
223,50000,100.0
224,50000,100.0
225,50000,100.0
226,50000,100.0
227,50000,100.0
228,50000,100.0
229,50000,100.0
23,50000,100.0
230,50000,100.0
231,50000,100.0
232,50000,100.0
233,50000,100.0
234,50000,100.0
235,50000,100.0
236,50000,100.0
237,50000,100.0
238,50000,100.0
239,50000,100.0
24,50000,100.0
240,50000,100.0
241,50000,100.0
242,50000,100.0
243,50000,100.0
244,50000,100.0
245,50000,100.0
246,50000,100.0
247,50000,100.0
248,50000,100.0
249,50000,100.0
25,50000,100.0
250,50000,100.0
251,50000,100.0
252,50000,100.0
253,50000,100.0
254,50000,100.0
255,50000,100.0
256,50000,100.0
257,50000,100.0
258,50000,100.0
259,50000,100.0
26,50000,100.0
260,50000,100.0
261,50000,100.0
262,50000,100.0
263,50000,100.0
264,50000,100.0
265,50000,100.0
266,50000,100.0
267,50000,100.0
268,50000,100.0
269,50000,100.0
27,50000,100.0
270,50000,100.0
271,50000,100.0
272,50000,100.0
273,50000,100.0
274,50000,100.0
275,50000,100.0
276,50000,100.0
277,50000,100.0
278,50000,100.0
279,50000,100.0
28,50000,100.0
280,50000,100.0
281,50000,100.0
282,50000,100.0
283,50000,100.0
284,50000,100.0
285,50000,100.0
286,50000,100.0
287,50000,100.0
288,50000,100.0
289,50000,100.0
29,50000,100.0
290,50000,100.0
291,50000,100.0
292,50000,100.0
293,50000,100.0
294,50000,100.0
295,50000,100.0
296,50000,100.0
297,50000,100.0
298,50000,100.0
299,50000,100.0
3,50000,100.0
30,50000,100.0
300,50000,100.0
301,50000,100.0
302,50000,100.0
303,50000,100.0
304,50000,100.0
305,50000,100.0
306,50000,100.0
307,50000,100.0
308,50000,100.0
309,50000,100.0
31,50000,100.0
310,50000,100.0
311,50000,100.0
312,50000,100.0
313,50000,100.0
314,50000,100.0
315,50000,100.0
316,50000,100.0
317,50000,100.0
318,50000,100.0
319,50000,100.0
32,50000,100.0
320,50000,100.0
321,50000,100.0
322,50000,100.0
323,50000,100.0
324,50000,100.0
325,50000,100.0
326,50000,100.0
327,50000,100.0
328,50000,100.0
329,50000,100.0
33,50000,100.0
330,50000,100.0
331,50000,100.0
332,50000,100.0
333,50000,100.0
334,50000,100.0
335,50000,100.0
336,50000,100.0
338,50000,100.0
339,50000,100.0
34,50000,100.0
340,50000,100.0
341,50000,100.0
342,50000,100.0
343,50000,100.0
344,50000,100.0
345,50000,100.0
346,50000,100.0
347,50000,100.0
348,50000,100.0
349,50000,100.0
35,50000,100.0
350,50000,100.0
351,50000,100.0
352,50000,100.0
353,50000,100.0
354,50000,100.0
